,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
3305,Ridge alpha 0.01,Reciprocol,None,505 nm LED,-2.4918893871013736,0.03820209973284246,-1.142376470629698,0.04102888062657443
3306,Ridge alpha 0.01,Reciprocol,Exponential,505 nm LED,-0.11217307587146519,0.044398171088520184,-17.39616791700058,0.08284738171274601
3307,Ridge alpha 0.01,Reciprocol,Logarithm,505 nm LED,-1.8374404054079125,0.03461507574234219,-0.857972494466076,0.0383887653796666
3308,Ridge alpha 0.001,None,None,505 nm LED,0.7146095686926033,0.022380771494227514,0.5644350554705492,0.024352126840950887
3309,Ridge alpha 0.001,None,Exponential,505 nm LED,0.11069903198927944,0.04245194610594722,-37060581434058.984,41186.11575977084
3310,Ridge alpha 0.001,None,Logarithm,505 nm LED,0.6894584348713455,0.0240851329911622,0.5195246202206825,0.026971261690392566
3311,Ridge alpha 0.001,Exponential,None,505 nm LED,0.7083128470567366,0.022946731762554108,0.5530965845966355,0.024913190111370394
3312,Ridge alpha 0.001,Exponential,Logarithm,505 nm LED,0.6812951676408643,0.02474505669005017,0.503258900664851,0.027724222342782427
3313,Ridge alpha 0.001,Logarithm,None,505 nm LED,0.6967555637509277,0.0210149109892429,0.547165948909125,0.02266401533459649
3314,Ridge alpha 0.001,Logarithm,Exponential,505 nm LED,0.0579802573920255,0.04203870630961164,-inf,1.5597115075078591e+156
3315,Ridge alpha 0.001,Logarithm,Logarithm,505 nm LED,0.6716588769946863,0.022511048223727397,0.49523100089598004,0.025682214500176055
3316,Ridge alpha 0.001,Reciprocol,None,505 nm LED,-2.4916845254252484,0.03820223309920401,-1.1423900728626986,0.0410291720794975
3317,Ridge alpha 0.001,Reciprocol,Exponential,505 nm LED,-0.11217307587146519,0.044398171088520184,-17.39616791700058,0.08284738171274601
3318,Ridge alpha 0.001,Reciprocol,Logarithm,505 nm LED,-1.696111961471554,0.03500117680565673,-1.0127993831597284,0.04040333825240626
3319,Ridge alpha 0.0001,None,None,505 nm LED,0.7146095686941187,0.022380773034130233,0.5644344526800176,0.02435213619623295
3320,Ridge alpha 0.0001,None,Exponential,505 nm LED,0.11069903198927944,0.04245194610594722,-37060581434058.984,41186.11575977084
3321,Ridge alpha 0.0001,None,Logarithm,505 nm LED,0.6894623536288909,0.024090832682046134,0.5182508705590949,0.026984298324312567
3322,Ridge alpha 0.0001,Exponential,None,505 nm LED,0.7083128289300924,0.022946733757717334,0.5530958796248246,0.024913201304303443
3323,Ridge alpha 0.0001,Exponential,Logarithm,505 nm LED,0.681284663067337,0.02475122029133821,0.5019299012325751,0.02773886418677799
3324,Ridge alpha 0.0001,Logarithm,None,505 nm LED,0.6967552134252112,0.02101493791168104,0.5471653167904658,0.022664023591996162
3325,Ridge alpha 0.0001,Logarithm,Exponential,505 nm LED,0.0579802573920255,0.04203870630961164,-inf,1.5597115075078591e+156
3326,Ridge alpha 0.0001,Logarithm,Logarithm,505 nm LED,0.6712253165777937,0.022519894291547583,0.4928532957785043,0.025747479324950286
3327,Ridge alpha 0.0001,Reciprocol,None,505 nm LED,-2.4916640449207224,0.038202246454620004,-1.1423914414801306,0.04102920126060639
3328,Ridge alpha 0.0001,Reciprocol,Exponential,505 nm LED,-0.11217307587146519,0.044398171088520184,-17.39616791700058,0.08284738171274601
