,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
2327,LassoLars alpha 0.001,None,Logarithm,465 nm LED,0.6288967498595321,0.09732587875304065,0.5560035536017685,0.10253159721220859
2328,LassoLars alpha 0.001,Exponential,None,465 nm LED,0.6419973197594286,0.09856681684624422,0.5090147437029429,0.1081969241269349
2329,LassoLars alpha 0.001,Exponential,Exponential,465 nm LED,0.0038776959924046173,0.16840173200775208,-23.826594677982023,0.31204825776594297
2330,LassoLars alpha 0.001,Exponential,Logarithm,465 nm LED,0.612739042498112,0.10293179588515901,0.4382343968128068,0.11639757706992915
2331,LassoLars alpha 0.001,Logarithm,None,465 nm LED,0.6657733791642022,0.08736005057491483,0.5868088397841648,0.09117168944173444
2332,LassoLars alpha 0.001,Logarithm,Logarithm,465 nm LED,0.6390944562382079,0.0899601550921427,0.5547273172710223,0.09572232214713726
2333,LassoLars alpha 0.001,Reciprocol,None,465 nm LED,-0.9289523740178005,0.12928157725901993,-13.86931202658619,0.22094355091573797
2334,LassoLars alpha 0.001,Reciprocol,Exponential,465 nm LED,-0.1513129534712796,0.18209807689704166,-0.6711679185288286,0.2040625746517503
2335,LassoLars alpha 0.001,Reciprocol,Logarithm,465 nm LED,-9.80719740867482,0.17025347312605296,-24.060238665963766,0.24063368259971316
2336,Ridge alpha 0.01,None,None,465 nm LED,0.7216026724265379,0.08653113320964405,0.6113580543238474,0.0939692040862402
2337,Ridge alpha 0.01,None,Exponential,465 nm LED,0.0902957449614814,0.15759761750527107,-24819282839796.562,138210.34185747936
2338,Ridge alpha 0.01,None,Logarithm,465 nm LED,0.6854101688303398,0.08947467557863006,0.56228726530268,0.10056218724682504
2339,Ridge alpha 0.01,Exponential,None,465 nm LED,0.6745708429974906,0.09500923725871625,0.5025519387845678,0.10797351646618211
2340,Ridge alpha 0.01,Exponential,Logarithm,465 nm LED,0.6322612271258056,0.10049937481897228,0.3973588131884742,0.11754968062896835
2341,Ridge alpha 0.01,Logarithm,None,465 nm LED,0.7031474036389616,0.08517279339224412,0.5931110714290522,0.09358151556727844
2342,Ridge alpha 0.01,Logarithm,Logarithm,465 nm LED,0.6781915594556913,0.08412303061034426,0.5715297352033166,0.09047926534989216
2343,Ridge alpha 0.01,Reciprocol,None,465 nm LED,-1.6276230215534264,0.1482107300838987,-19.2267141494337,0.2561322164909179
2344,Ridge alpha 0.01,Reciprocol,Exponential,465 nm LED,-0.06268711097262081,0.17206810605745243,-1.5477325554577217,0.2491121349788287
2345,Ridge alpha 0.01,Reciprocol,Logarithm,465 nm LED,-9.519766902906387,0.17466893670109412,-35.5661284929723,0.2721700873745363
2346,Ridge alpha 0.001,None,None,465 nm LED,0.7216026753194043,0.08653150566904007,0.6113418868603155,0.09397122598747164
2347,Ridge alpha 0.001,None,Exponential,465 nm LED,0.0902957449614814,0.15759761750527107,-24819282839796.562,138210.34185747936
2348,Ridge alpha 0.001,None,Logarithm,465 nm LED,0.6879840914551854,0.08970826272914063,0.5535562132230054,0.10198613843843171
2349,Ridge alpha 0.001,Exponential,None,465 nm LED,0.674563387936995,0.09501063864430852,0.5025043933092207,0.10797672273813705
2350,Ridge alpha 0.001,Exponential,Logarithm,465 nm LED,0.6289766061326725,0.10075566352348472,0.3567484720220572,0.11950257382122051
2351,Ridge alpha 0.001,Logarithm,None,465 nm LED,0.7031372434835146,0.08517555906616986,0.5930838654773456,0.09358734426143918
2352,Ridge alpha 0.001,Logarithm,Logarithm,465 nm LED,0.6798064025885208,0.0846487295907756,0.5637893412866795,0.09264496165619832
2353,Ridge alpha 0.001,Reciprocol,None,465 nm LED,-1.6287983349528616,0.14822839462359463,-19.257246016055497,0.25625055685115744
2354,Ridge alpha 0.001,Reciprocol,Exponential,465 nm LED,-0.06268711097262081,0.17206810605745243,-1.5477325554577217,0.2491121349788287
2355,Ridge alpha 0.001,Reciprocol,Logarithm,465 nm LED,-11.25479936642554,0.18576876522605748,-28.437700652336538,0.26206886053201217
2356,Ridge alpha 0.0001,None,None,465 nm LED,0.72160267534834,0.08653154293100364,0.6113402692044221,0.09397142823290228
2357,Ridge alpha 0.0001,None,Exponential,465 nm LED,0.0902957449614814,0.15759761750527107,-24819282839796.562,138210.34185747936
2358,Ridge alpha 0.0001,None,Logarithm,465 nm LED,0.6880246971045646,0.0897888607124084,0.5518123254384023,0.10222156575935581
2359,Ridge alpha 0.0001,Exponential,None,465 nm LED,0.674562642065818,0.09501077879699339,0.5024996371597272,0.1079770434124843
2360,Ridge alpha 0.0001,Exponential,Logarithm,465 nm LED,0.6283150182366714,0.10083622836689102,0.3507702310829086,0.11976193462546358
2361,Ridge alpha 0.0001,Logarithm,None,465 nm LED,0.7031362269470738,0.08517583566606503,0.5930811434627405,0.09358792726126798
2362,Ridge alpha 0.0001,Logarithm,Logarithm,465 nm LED,0.6797059107381416,0.08474586423341772,0.5620203004834922,0.09322378918232156
2363,Ridge alpha 0.0001,Reciprocol,None,465 nm LED,-1.6289159075702297,0.14823016145527207,-19.26030281361003,0.25626239917799554
2364,Ridge alpha 0.0001,Reciprocol,Exponential,465 nm LED,-0.06268711097262081,0.17206810605745243,-1.5477325554577217,0.2491121349788287
2365,Ridge alpha 0.0001,Reciprocol,Logarithm,465 nm LED,-11.361167914739758,0.18671495642055913,-28.368194638377094,0.2630871025626783
2366,Ridge alpha 0.00001,None,None,465 nm LED,0.7216026753486293,0.08653154665736022,0.6113401074297337,0.09397144845799864
2367,Ridge alpha 0.00001,None,Exponential,465 nm LED,0.0902957449614814,0.15759761750527107,-24819282839796.562,138210.34185747936
2368,Ridge alpha 0.00001,None,Logarithm,465 nm LED,0.6880251252882579,0.08979716289469337,0.5516229744383806,0.10224603813151605
2369,Ridge alpha 0.00001,Exponential,None,465 nm LED,0.6745625674750484,0.09501079281240318,0.5024991615287532,0.10797707548039068
2370,Ridge alpha 0.00001,Exponential,Logarithm,465 nm LED,0.6282437409486812,0.1008444582231738,0.3501419853317909,0.11979511987604877
2371,Ridge alpha 0.00001,Logarithm,None,465 nm LED,0.7031361252882194,0.08517586332637955,0.5930808712470809,0.09358798556255551
2372,Ridge alpha 0.00001,Logarithm,Logarithm,465 nm LED,0.6796913290109142,0.08475565269983107,0.5618254030854558,0.09328563531615576
2373,Ridge alpha 0.00001,Reciprocol,None,465 nm LED,-1.6289276652448872,0.14823033814221806,-19.260608529511334,0.2562635834936465
2374,Ridge alpha 0.00001,Reciprocol,Exponential,465 nm LED,-0.06268711097262081,0.17206810605745243,-1.5477325554577217,0.2491121349788287
2375,Ridge alpha 0.00001,Reciprocol,Logarithm,465 nm LED,-11.370692208693187,0.1868067343856617,-28.369024883788136,0.26321535376379107
2376,Lars,None,None,465 nm LED,0.7216026753486322,0.08653154707140191,0.6113400894546668,0.09397145070523757
2377,Lars,None,Exponential,465 nm LED,0.06718063284842546,0.1612104730165089,-2720268724101081.0,1449876.8681701757
2378,Lars,None,Logarithm,465 nm LED,0.688025129636773,0.08979808816160251,0.5516017561572564,0.10224876820173301
2379,Lars,Exponential,None,465 nm LED,0.6745625591871435,0.09501079436967272,0.502499108680688,0.10797707904349634
2380,Lars,Exponential,Logarithm,465 nm LED,0.6282357608706803,0.10084537464949729,0.3500718189995035,0.11979881880120369
2381,Lars,Logarithm,None,465 nm LED,0.7031361139927321,0.08517586639975198,0.6097202709056744,0.09286476239825103
2382,Lars,Logarithm,Logarithm,465 nm LED,0.6796896546704227,0.08475674116075592,0.5618035308004068,0.09329253583809474
2383,Lars,Reciprocol,None,465 nm LED,-1.628928971657865,0.148230357774145,-19.234979173333606,0.25263604087654634
2384,Lars,Reciprocol,Exponential,465 nm LED,-0.07759550915671865,0.17493490896462896,-8.214956223777476,0.4496273007988655
2385,Lars,Reciprocol,Logarithm,465 nm LED,-11.371737370719595,0.18681689855336447,-28.35348891207422,0.26190094784057855
2386,SVR,None,None,465 nm LED,0.8005657524342767,0.08546310229450703,-0.10815020950946148,0.17265705121130506
2387,SVR,None,Exponential,465 nm LED,0.8018813392386742,0.08455223494910712,-0.12514648972796846,0.17377869349183167
2388,SVR,None,Logarithm,465 nm LED,0.5011816351237852,0.11965627836987645,0.3490474138299602,0.13117958134187027
2389,SVR,Exponential,None,465 nm LED,0.9237254001468874,0.05328859429782329,-0.12025683420541344,0.17260510476156068
2390,SVR,Exponential,Exponential,465 nm LED,0.9246483378425879,0.05244197165376974,-0.13558568636208546,0.17360508011891296
2391,SVR,Exponential,Logarithm,465 nm LED,0.43945001580798926,0.12697165721650955,0.25800875071807505,0.14161832626168516
2392,SVR,Logarithm,None,465 nm LED,0.9216002949855573,0.05154055722711572,-0.1859058096019393,0.1767114773648218
2393,SVR,Logarithm,Exponential,465 nm LED,0.9220123991637866,0.051169696004474456,-0.20500312787122638,0.1786918689823217
2394,SVR,Logarithm,Logarithm,465 nm LED,0.44363205079943147,0.1274831070296853,0.24459108480166183,0.14350123614572524
2395,SVR,Reciprocol,None,465 nm LED,0.9394350678931486,0.04231558243833241,-0.22274810352314614,0.17927894317160653
2396,SVR,Reciprocol,Exponential,465 nm LED,0.9400613974697065,0.041495667702616736,-0.2409504078739098,0.18120969820587862
2397,SVR,Reciprocol,Logarithm,465 nm LED,0.3397713646382773,0.14107725714900113,0.11532346973822565,0.15632941320243332
2398,LinearSVR,None,None,465 nm LED,0.5895666695920591,0.09922425415403593,0.29121549203539177,0.1286335718638744
2399,LinearSVR,None,Exponential,465 nm LED,-8.136352969867449,0.5709230588333333,-9.732294513224424,0.5709230588333333
2400,LinearSVR,None,Logarithm,465 nm LED,0.6223555117599786,0.09318366792135763,0.5248409478625771,0.10534022218976899
