Leaf number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,2,64,50,    61.650,   320.800,  1001.700,   357.700,   775.800,  1841.600,   682.500,   559.000,  2044.750,   185.000,   417.500,   159.250,   660.400,   367.800,   652.750,  1266.850,   673.700,   287.450,b'White IR',12.5 mA,b'OK Read',10:30:16
1,2,64,50,  2897.600,   687.400,  1014.200,   366.600,   760.650,  1838.350,   677.100,   540.750,  2033.250,   176.000,   407.050,   169.750,   692.100,   363.500,   135.800,    57.050,    35.800,    39.000,b'White UV',12.5 mA,b'OK Read',10:30:17
1,2,64,50,  2873.900,   403.250,    41.750,    44.700,    41.650,    25.850,    37.600,    44.400,    28.650,    47.400,    52.200,    41.900,    72.350,    72.700,   538.850,  1215.500,   650.950,   263.100,b'UV IR',12.5 mA,b'OK Read',10:30:18
1,2,64,50,  2864.400,   696.550,  1030.900,   384.500,   787.150,  1851.250,   693.250,   569.450,  2050.450,   203.050,   448.800,   184.400,   714.700,   402.000,   657.100,  1266.850,   676.950,   292.350,b'White UV IR',12.5 mA,b'OK Read',10:30:19
1,2,64,50,    85.350,   655.300,  1811.400,   625.950,  1453.150,  3547.450,  1284.400,  1021.400,  3906.200,   300.100,   761.950,   282.900,  1293.700,   675.750,   245.300,   102.700,    55.350,    58.450,b'White',25 mA,b'OK Read',10:30:20
1,2,64,50,    37.950,    32.100,    33.400,    40.250,    60.550,    32.300,    45.700,    67.900,    45.800,    60.900,    78.300,    37.700,    67.850,    98.350,  1082.050,  2499.450,  1379.950,   560.300,b'IR',25 mA,b'OK Read',10:30:21
1,2,64,50,  4106.950,   536.150,    37.550,    35.750,    18.900,    16.150,    24.200,    18.300,    11.450,    29.350,    20.900,    35.650,    58.800,    38.500,    17.500,    11.400,     9.750,     9.750,b'UV',25 mA,b'OK Read',10:30:22
1,2,64,50,   123.300,   687.400,  1844.800,   666.150,  1513.700,  3579.750,  1322.000,  1084.100,  3940.550,   358.750,   835.000,   314.350,  1352.500,   765.550,  1318.600,  2596.450,  1432.050,   613.900,b'White IR',25 mA,b'OK Read',10:30:23
1,2,64,50,  3936.200,  1163.950,  1848.950,   661.700,  1468.300,  3553.950,  1300.500,  1037.050,  3906.200,   324.900,   814.150,   322.750,  1397.750,   731.300,   258.450,   108.400,    61.850,    68.200,b'White UV',25 mA,b'OK Read',10:30:24
1,2,64,50,  3893.550,   540.750,    66.800,    76.000,    79.450,    45.250,    61.800,    83.600,    51.550,    85.750,    99.150,    67.050,   117.600,   128.300,  1086.450,  2499.450,  1386.500,   570.050,b'UV IR',25 mA,b'OK Read',10:30:24
