Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time
1C,2,64,150,7779.178,6944.595,13672.822,13784.266,12153.55,4066.836,White LED,12.5 mA,b'OK Read',10:41:33
1C,2,64,150,15047.445,13503.492,26724.805,26904.287,23651.043,7870.802,White LED,25 mA,b'OK Read',10:41:34
1C,2,64,150,28323.333,25318.032,50248.786,50549.18,44341.185,14749.73,White LED,50 mA,b'OK Read',10:41:35
1C,2,64,150,37349.453,33368.971,66660.827,67026.888,58691.022,19519.59,White LED,100 mA,b'OK Read',10:41:36
1C,2,64,200,7836.925,6939.52,13667.008,13800.515,12221.987,4110.393,White LED,12.5 mA,b'OK Read',10:41:38
1C,2,64,200,15205.514,13509.075,26722.122,26922.122,23745.44,7928.496,White LED,25 mA,b'OK Read',10:41:39
1C,2,64,200,28420.232,25287.075,50127.124,50466.348,44378.154,14797.872,White LED,50 mA,b'OK Read',10:41:40
1C,2,64,200,37701.807,33339.536,66567.788,67012.222,58834.98,19623.514,White LED,100 mA,b'OK Read',10:41:41
1C,2,64,250,7833.989,6934.039,13672.107,13796.948,12205.468,4100.764,White LED,12.5 mA,b'OK Read',10:41:42
1C,2,64,250,15181.73,13513.642,26705.481,26921.408,23755.824,7940.188,White LED,25 mA,b'OK Read',10:41:44
1C,2,64,250,28443.135,25263.629,50048.758,50378.598,44273.848,14748.814,White LED,50 mA,b'OK Read',10:41:46
1C,2,64,250,37726.469,33329.184,66509.82,62335.953,58792.027,19606.092,White LED,100 mA,b'Saturated Read',10:41:48
1C,3,64,50,8086.509,7076.544,13821.323,13972.917,12432.019,4199.799,White LED,12.5 mA,b'OK Read',10:41:51
1C,3,64,50,15462.438,13647.621,26977.077,27170.62,24042.788,8028.218,White LED,25 mA,b'OK Read',10:41:52
1C,3,64,50,28851.865,25632.681,50921.513,51192.812,45050.732,14997.317,White LED,50 mA,b'OK Read',10:41:53
1C,3,64,50,37690.061,33592.27,67179.682,67462.846,59219.644,19660.194,White LED,100 mA,b'OK Read',10:41:54
1C,3,64,100,7966.121,7003.465,13754.23,13875.421,12309.304,4128.732,White LED,12.5 mA,b'OK Read',10:41:56
1C,3,64,100,15403.712,13598.901,26891.196,27065.989,23929.514,7975.491,White LED,25 mA,b'OK Read',10:41:57
1C,3,64,100,28743.223,25498.701,50647.774,50907.461,44817.1,14887.278,White LED,50 mA,b'OK Read',10:41:58
