,Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time,Total Chlorophyll (µg/mg),Total Chlorophyll (µg/mg) std,Chlorophyll a (µg/mg),Chlorophyll a (µg/mg) std,Chlorophyll b (µg/mg),Chlorophyll b (µg/mg) std,Total Chlorophyll (µg/cm2),Total Chlorophyll (µg/cm2) std,Chlorophyll a (µg/cm2),Chlorophyll a (µg/cm2) std,Chlorophyll b (µg/cm2),Chlorophyll b (µg/cm2) std
5696,95,3,64,250,4210.622,2984.085,5629.439,5586.314,4360.174,1577.217,White LED,12.5 mA,b'OK Read',09:40:17,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5697,95,3,64,250,8218.054,5801.305,11009.825,10905.344,8489.077,3063.652,White LED,25 mA,b'OK Read',09:40:19,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5698,95,3,64,250,12773.982,8951.037,17191.043,17017.664,13215.51,4773.833,White LED,50 mA,b'OK Read',09:40:21,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5699,95,3,64,250,14479.372,10100.823,19440.027,19251.047,14943.91,5398.3,White LED,100 mA,b'OK Read',09:40:23,2.262581606666667,0.10078722610842679,1.78828557,0.08305940013022332,0.47429603700000006,0.017756359263299274,43.409857503333335,0.8668084960541196,34.307489409999995,0.6432907903865703,9.102368096666666,0.2309657312946148
5700,96,1,64,50,3817.1609999999996,2636.9570000000003,5292.359,5084.087,4063.77,1347.971,White LED,12.5 mA,b'OK Read',09:49:40,2.3309034033333336,0.08438568376896709,1.8229908013333336,0.07111755613580265,0.5079126023333335,0.013642729908761912,43.66111464666667,0.5997704627108991,34.14571848333333,0.5618023411731325,9.515396163,0.07686604297426466
5701,96,1,64,50,7393.547,5535.781999999999,10047.968,10082.568000000001,7221.3330000000005,2737.205,White LED,25 mA,b'OK Read',09:49:41,2.3309034033333336,0.08438568376896709,1.8229908013333336,0.07111755613580265,0.5079126023333335,0.013642729908761912,43.66111464666667,0.5997704627108991,34.14571848333333,0.5618023411731325,9.515396163,0.07686604297426466
5702,96,1,64,50,11604.17,8690.386,15839.506000000001,15908.581,11327.58,4309.837,White LED,50 mA,b'OK Read',09:49:42,2.3309034033333336,0.08438568376896709,1.8229908013333336,0.07111755613580265,0.5079126023333335,0.013642729908761912,43.66111464666667,0.5997704627108991,34.14571848333333,0.5618023411731325,9.515396163,0.07686604297426466
5703,96,1,64,50,13054.691,9762.22,17777.174,17858.512,12696.329,4841.69,White LED,100 mA,b'OK Read',09:49:43,2.3309034033333336,0.08438568376896709,1.8229908013333336,0.07111755613580265,0.5079126023333335,0.013642729908761912,43.66111464666667,0.5997704627108991,34.14571848333333,0.5618023411731325,9.515396163,0.07686604297426466
5704,96,1,64,100,3776.053,2853.151,5093.762,5136.403,3669.664,1400.6970000000001,White LED,12.5 mA,b'OK Read',09:49:44,2.3309034033333336,0.08438568376896709,1.8229908013333336,0.07111755613580265,0.5079126023333335,0.013642729908761912,43.66111464666667,0.5997704627108991,34.14571848333333,0.5618023411731325,9.515396163,0.07686604297426466
5705,96,1,64,100,7372.993,5554.052,9978.19,10056.411,7150.535,2737.205,White LED,25 mA,b'OK Read',09:49:45,2.3309034033333336,0.08438568376896709,1.8229908013333336,0.07111755613580265,0.5079126023333335,0.013642729908761912,43.66111464666667,0.5997704627108991,34.14571848333333,0.5618023411731325,9.515396163,0.07686604297426466
