Leaf number,940 nm,led,led current,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,102.325,b'White',100 mA,3,64,100,182.575,1658.875,3764.7,1211.625,2698.2,5390.65,1743.875,1357.05,3923.35,467.05,1612.625,628.7,3510.15,1605.925,392.075,199.725,94.375,102.325,b'White',100 mA,b'OK Read',09:45:44
1,2377.6,b'IR',100 mA,3,64,100,130.425,119.15,116.875,134.125,211.925,101.775,141.075,239.025,126,213.225,294.875,123.65,201.3,260.875,2135.625,6816.375,5366.9,2377.6,b'IR',100 mA,b'OK Read',09:45:45
1,24.367,b'White',12.5 mA,3,64,150,36.367,305.5,1061.517,326.383,650.9,1297.717,420.067,329.133,962.233,116.567,375.75,132.733,725.25,329.317,89.083,45.65,24.95,24.367,b'White',12.5 mA,b'OK Read',09:45:47
1,225.75,b'IR',12.5 mA,3,64,150,17.383,15.283,15.3,17.883,26.483,14,18.817,29.6,17.183,27.833,34.8,16.067,27.133,37.067,316.867,1017.65,603.2,225.75,b'IR',12.5 mA,b'OK Read',09:45:48
1,47.1,b'White',25 mA,3,64,150,75.883,661.417,1942.167,602.083,1269,2522.217,815.95,637.383,1855.717,222.617,742.817,269.65,1480.65,671.45,173.767,87.5,45.567,47.1,b'White',25 mA,b'OK Read',09:45:50
1,493.717,b'IR',25 mA,3,64,150,36.367,32.083,30.6,37.25,55.5,28,38.517,61.817,34.367,57.15,85.233,33.533,55.783,75.55,649.817,2090.467,1288.833,493.717,b'IR',25 mA,b'OK Read',09:45:51
1,89.317,b'White',50 mA,3,64,150,154.917,1396.133,3336.183,1065.583,2341.217,4677.183,1513.683,1178.983,3413.617,406.117,1440.4,546.283,3048.767,1391.367,338.783,173.1,82.45,89.317,b'White',50 mA,b'OK Read',09:45:53
1,1083.233,b'IR',50 mA,3,64,150,71.133,62.633,61.217,73.033,109.75,54.917,76.133,124.517,68.733,112.067,160.05,66.367,110.067,146.833,1226.617,3969.8,2676.4,1083.233,b'IR',50 mA,b'OK Read',09:45:54
1,103.933,b'White',100 mA,3,64,150,184.95,1661.917,3781.383,1220.567,2698.2,5390.117,1743.867,1357.483,3921.45,467.033,1652.633,656.65,3635.3,1665.083,403.033,203.533,95.467,103.933,b'White',100 mA,b'OK Read',09:45:57
1,2403.583,b'IR',100 mA,3,64,150,128.05,117.617,114.083,131.15,208.133,100.15,139.717,235.967,124.1,210.583,290.517,122.25,197.517,252.333,2058.95,6598.583,5333.283,2403.583,b'IR',100 mA,b'OK Read',09:45:58
1,24.363,b'White',12.5 mA,3,64,200,36.75,304.738,1062.213,326.375,651.85,1296.375,419.175,328.488,962.225,116.2,358.8,136.75,731.663,330.375,90.9,44.225,25.225,24.363,b'White',12.5 mA,b'OK Read',09:46:00
1,226.55,b'IR',12.5 mA,3,64,200,17.788,14.887,15.65,17.887,26.488,13.725,18.812,29.387,17.188,28.2,45.663,16.238,27.137,37.425,315.413,1012.9,602.925,226.55,b'IR',12.5 mA,b'OK Read',09:46:01
1,46.288,b'White',25 mA,3,64,200,75.875,659.875,1941.825,602.462,1266.787,2516.825,814.837,636.075,1854.287,222.238,739.775,275.062,1496.112,676.8,174.137,88.45,45.562,46.288,b'White',25 mA,b'OK Read',09:46:03
1,496.962,b'IR',25 mA,3,64,200,35.562,30.938,31.3,36.888,54.875,28.275,38.288,62.038,34.362,56.975,71.763,33.538,56.538,75.912,645.062,2078.588,1288.837,496.962,b'IR',25 mA,b'OK Read',09:46:04
1,90.138,b'White',50 mA,3,64,200,155.312,1396.525,3343.137,1069.675,2341.537,4676.65,1513.45,1180.075,3415.037,406.125,1401.263,564.788,3100.787,1415.6,340.6,174.05,82.987,90.138,b'White',50 mA,b'OK Read',09:46:06
1,1088.925,b'IR',50 mA,3,64,200,69.95,61.862,60.525,71.537,109.75,54.925,75.237,124.075,67.3,111.688,167,66.013,108.562,144.338,1210.188,3927.475,2674.5,1088.925,b'IR',50 mA,b'OK Read',09:46:07
